1;66
1;270
5;185
6;364
9;158
10;86
10;276
11;46
11;140
12;195
12;250
12;382
13;147
13;182
14;157
14;310
15;74
16;16
16;132
16;177
16;249
16;287
16;392
18;55
18;202
20;279
21;97
21;116
22;63
22;184
22;311
23;154
24;188
24;324
25;197
26;55
26;202
27;78
28;213
29;90
30;160
30;319
31;3
31;376
32;37
33;292
35;124
35;333
36;7
36;340
37;239
37;351
38;109
39;111
39;267
40;163
41;83
41;98
41;126
42;55
42;202
43;200
43;316
45;312
46;239
47;10
47;335
48;197
49;205
50;221
51;9
52;138
52;369
53;348
53;370
54;239
55;40
55;143
55;347
56;215
56;373
57;198
58;80
58;246
59;283
59;341
60;179
60;365
62;16
62;132
62;177
62;249
62;287
62;392
63;194
64;115
64;190
65;345
66;119
66;293
67;146
67;219
68;30
68;212
68;271
69;305
71;128
72;122
73;83
73;126
74;265
74;300
74;327
75;52
75;369
76;117
76;317
77;400
78;142
78;301
79;106
79;383
80;313
81;136
81;263
81;307
82;214
83;37
84;121
84;152
86;187
87;381
88;268
88;343
89;54
89;261
90;172
90;357
91;257
92;122
93;230
93;284
94;174
95;248
97;134
98;105
98;235
99;266
99;305
100;87
100;217
102;133
102;251
103;77
104;134
105;83
105;126
106;188
107;168
107;267
108;14
108;59
108;394
109;24
109;43
110;58
110;223
111;267
112;356
113;74
113;371
114;298
114;336
115;221
117;135
117;329
118;60
119;56
119;293
120;228
120;292
121;26
121;354
122;176
122;384
123;282
124;81
125;69
125;139
126;41
126;83
126;226
127;90
128;35
128;233
129;167
129;349
129;361
130;9
131;74
132;16
132;132
132;177
132;249
132;287
132;392
133;17
133;178
134;222
134;247
135;68
136;78
136;210
137;220
137;362
138;52
138;75
138;369
138;397
139;201
141;72
141;96
142;338
143;2
143;163
144;85
145;28
146;86
146;276
147;182
148;175
148;315
149;70
149;353
150;292
151;240
152;55
152;202
153;74
153;371
153;390
154;22
155;322
155;378
156;208
156;326
157;310
158;275
159;294
159;334
160;237
161;29
162;142
163;302
163;363
164;83
164;299
165;234
166;11
167;203
168;94
168;267
169;109
170;192
170;281
171;326
172;278
173;337
173;368
174;39
174;350
175;315
176;277
177;103
177;243
178;344
179;84
179;191
179;290
180;53
180;272
181;45
181;312
182;25
182;242
183;218
183;386
184;149
184;323
185;47
185;318
186;260
186;358
187;280
187;360
188;155
188;224
189;257
190;50
191;121
191;152
192;120
192;292
194;52
194;138
194;369
195;382
196;364
197;156
197;171
197;326
198;230
199;74
200;316
200;321
201;305
202;18
202;42
203;258
204;131
204;199
205;161
205;306
206;60
207;218
207;386
208;326
209;356
210;27
210;78
211;201
212;285
213;14
213;108
214;181
214;389
215;13
216;308
216;316
217;36
218;65
218;252
220;61
220;346
221;60
221;374
222;6
222;196
223;313
224;43
225;21
225;97
226;41
226;83
227;85
228;33
228;150
229;107
230;5
230;88
230;385
231;110
232;286
232;320
234;183
234;207
235;73
236;314
237;12
237;100
238;291
239;102
239;344
240;34
240;89
241;291
241;393
242;48
242;366
243;400
244;109
245;258
246;313
247;364
248;214
249;16
249;132
249;177
249;249
249;287
249;392
250;44
250;195
250;382
251;344
252;90
253;315
254;76
254;117
256;188
257;164
258;95
258;248
259;47
259;318
260;140
260;166
261;239
262;173
262;337
262;368
263;74
263;153
264;51
264;130
264;355
265;122
266;305
267;68
267;352
269;127
269;330
270;66
271;237
273;15
273;204
274;238
274;359
275;231
275;309
277;338
278;134
279;32
280;218
281;192
281;399
282;22
282;388
283;109
284;57
284;398
285;237
286;320
287;16
287;132
287;177
287;249
287;287
287;392
288;64
288;221
289;19
289;216
290;121
290;152
291;90
292;93
292;230
293;137
293;387
294;21
294;97
295;206
296;49
296;241
297;305
298;279
298;304
299;41
299;83
299;126
300;141
300;327
301;4
301;162
302;379
303;262
304;20
305;148
305;253
306;29
307;136
307;263
308;316
309;193
309;231
310;262
310;339
311;325
312;232
313;32
314;262
315;129
315;245
316;241
316;296
318;86
318;276
319;285
320;127
320;269
320;330
321;289
321;316
322;43
323;194
324;79
324;256
326;91
326;189
326;380
327;8
327;92
328;99
328;125
330;127
330;269
331;71
332;53
332;272
335;67
335;101
336;298
337;68
337;173
338;123
338;282
339;236
339;303
340;381
341;38
341;169
341;367
342;294
342;334
343;47
343;318
344;107
344;229
345;252
346;362
348;159
348;225
349;258
350;39
351;186
351;396
352;68
352;254
353;325
354;55
354;202
355;110
356;170
356;192
357;180
357;255
357;332
358;239
360;211
360;297
360;328
361;82
361;377
362;264
363;302
364;3
364;31
365;84
365;191
365;290
367;109
367;244
368;165
368;234
369;288
370;104
370;342
371;113
371;273
373;13
374;118
374;295
375;110
376;3
376;62
377;203
378;112
378;209
379;145
379;213
380;257
381;128
381;331
382;144
382;227
382;391
383;188
384;277
385;47
385;318
386;218
387;114
388;23
388;154
389;181
390;15
390;204
391;100
392;16
392;132
392;177
392;249
392;287
392;392
393;274
393;291
394;14
394;59
395;259
396;34
396;151
397;52
397;369
398;230
399;192
